Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71703655,1,"Saturday, December 31, 2011 21:45:29 UTC",38.8352,-122.7743,1.8,2.50,39,"Northern California"
ak,10383183,1,"Saturday, December 31, 2011 21:27:53 UTC",63.5969,-150.6987,1.3,15.20, 9,"Central Alaska"
ak,10383181,1,"Saturday, December 31, 2011 21:07:50 UTC",63.6345,-150.6652,1.1,6.80, 5,"Central Alaska"
nc,71703635,0,"Saturday, December 31, 2011 20:54:49 UTC",38.7958,-122.7508,1.0,1.00,16,"Northern California"
ak,10383177,1,"Saturday, December 31, 2011 20:50:10 UTC",63.4785,-147.5107,1.3,0.00, 8,"Central Alaska"
ak,10383171,1,"Saturday, December 31, 2011 20:35:03 UTC",59.6245,-152.9803,2.4,97.00,31,"Southern Alaska"
ld,60029101,1,"Saturday, December 31, 2011 20:05:01 UTC",41.1220,-80.6840,4.0,5.00,18,"Youngstown-Akron urban area, Ohio"
ak,10383155,1,"Saturday, December 31, 2011 19:39:50 UTC",63.0797,-149.3005,3.2,23.50,48,"Central Alaska"
ak,10383152,1,"Saturday, December 31, 2011 19:35:21 UTC",63.5021,-150.9835,1.3,7.50,12,"Central Alaska"
ci,11048237,1,"Saturday, December 31, 2011 19:14:45 UTC",32.2542,-115.3235,3.2,12.70,28,"Baja California, Mexico"
ak,10383143,1,"Saturday, December 31, 2011 18:28:44 UTC",64.2156,-148.5553,1.4,5.60,11,"Central Alaska"
ci,11048229,0,"Saturday, December 31, 2011 18:01:10 UTC",33.6722,-116.7302,1.3,19.60,37,"Southern California"
ci,11048221,0,"Saturday, December 31, 2011 18:01:01 UTC",33.6712,-116.7243,1.3,15.80,57,"Southern California"
ak,10383134,1,"Saturday, December 31, 2011 17:56:56 UTC",63.2401,-151.5751,1.8,0.00,14,"Central Alaska"
nc,71703525,1,"Saturday, December 31, 2011 17:36:32 UTC",38.8108,-122.7873,1.8,3.90,35,"Northern California"
us,c0007f5t,4,"Saturday, December 31, 2011 17:10:33 UTC",10.9439,-86.7639,4.6,51.80,51,"off the coast of Costa Rica"
ak,10383115,2,"Saturday, December 31, 2011 16:55:51 UTC",63.4365,-150.9735,1.1,8.30,17,"Central Alaska"
ak,10383112,1,"Saturday, December 31, 2011 16:51:31 UTC",63.4290,-150.9350,1.7,3.50,11,"Central Alaska"
ci,11048205,0,"Saturday, December 31, 2011 16:48:23 UTC",33.1523,-116.4995,1.6,13.10,77,"Southern California"
nc,71703500,1,"Saturday, December 31, 2011 16:39:24 UTC",38.8050,-122.8138,1.1,3.40,25,"Northern California"
nn,00362667,8,"Saturday, December 31, 2011 16:36:03 UTC",37.3050,-114.9334,2.3,1.00, 8,"Nevada"
nc,71703495,1,"Saturday, December 31, 2011 16:32:49 UTC",38.8107,-122.8237,1.6,2.20,32,"Northern California"
ak,10383100,1,"Saturday, December 31, 2011 16:28:19 UTC",62.7599,-148.8510,1.6,34.90,11,"Central Alaska"
us,c0007f4u,6,"Saturday, December 31, 2011 16:15:08 UTC",-23.2606,-64.2082,5.3,13.10,133,"Salta, Argentina"
nc,71703460,0,"Saturday, December 31, 2011 15:12:15 UTC",38.8270,-122.8082,1.1,0.70,18,"Northern California"
nc,71703440,1,"Saturday, December 31, 2011 15:05:16 UTC",38.7737,-122.7478,2.2,0.90,37,"Northern California"
nc,71703435,1,"Saturday, December 31, 2011 14:53:14 UTC",38.8362,-122.8085,1.8,2.60,33,"Northern California"
ak,10383083,1,"Saturday, December 31, 2011 14:40:56 UTC",62.2148,-151.5231,2.2,83.90,29,"Central Alaska"
ak,10383079,1,"Saturday, December 31, 2011 14:33:19 UTC",62.2341,-151.2359,2.2,111.50,27,"Central Alaska"
ak,10383078,1,"Saturday, December 31, 2011 14:31:02 UTC",64.7671,-149.2294,1.6,4.50, 9,"Central Alaska"
ak,10383074,1,"Saturday, December 31, 2011 14:13:17 UTC",61.8736,-150.5413,1.9,15.00,13,"Southern Alaska"
nc,71703425,1,"Saturday, December 31, 2011 13:42:16 UTC",38.8112,-122.8117,1.3,2.70,26,"Northern California"
nc,71703420,0,"Saturday, December 31, 2011 13:20:42 UTC",35.7567,-120.3020,1.9,5.00,13,"Central California"
ci,11048181,0,"Saturday, December 31, 2011 13:16:27 UTC",33.3278,-116.4688,1.5,0.10,27,"Southern California"
